,price,market_cap,total_volume,is_trading_day,days_since_last_trading
2024-04-11,70527.88997578963,1387722485989.3584,38378062633.13138,1,0.0
2024-04-12,70106.66413070948,1379324055321.196,30118549149.510498,1,1.0
2024-04-15,65752.66004728881,1293286386553.3967,40292911692.95434,1,3.0
2024-04-16,63430.5714573684,1247928896840.997,42796604938.03423,1,1.0
2024-04-17,63720.501587480736,1253670904297.4917,42157169474.39519,1,1.0
2024-04-18,61328.89798860725,1207185042484.4346,41123362075.93534,1,1.0
2024-04-19,63461.592695107174,1249565911947.3347,35901618166.42319,1,1.0
2024-04-22,64936.4207567739,1279763566407.3762,19592118541.18973,1,3.0
2024-04-23,66841.66685207361,1317058642854.2856,27748586313.20611,1,1.0
2024-04-24,66406.95244392671,1306843409278.049,23232230785.201836,1,1.0
2024-04-25,64279.51812857524,1265541377860.928,30939903322.025898,1,1.0
2024-04-26,64486.183359158975,1269387456067.624,24705345525.57077,1,1.0
2024-04-29,63030.433616681854,1240724751365.882,16180294651.046635,1,3.0
2024-04-30,63797.67963589958,1257159131219.0603,27242983698.21234,1,1.0
2024-05-01,60749.47209216387,1197773959985.8767,39533113322.04938,1,1.0
2024-05-02,58297.574075325494,1151677489315.1536,51109380171.692604,1,1.0
2024-05-03,59135.1733607733,1164721402399.166,28255509745.49032,1,1.0
2024-05-06,64010.00865210892,1259667234461.2874,18115695040.201984,1,3.0
2024-05-07,63172.48129551341,1244417948315.7583,17917770174.27797,1,1.0
2024-05-08,62363.057191718624,1229336706399.346,19925137720.849453,1,1.0
2024-05-09,61215.50400879193,1203918522476.5405,20303831135.373127,1,1.0
2024-05-10,63148.599943097026,1240910691253.6274,25837724247.550426,1,1.0
2024-05-13,61507.054004121346,1211277523448.5786,13045696108.912676,1,3.0
2024-05-14,62878.783300729294,1238994152713.125,27740460083.601814,1,1.0
2024-05-15,61569.1130057734,1212998352772.157,21581895152.31416,1,1.0
2024-05-16,66220.51831432826,1307048849176.4167,38101793065.15294,1,1.0
2024-05-17,65260.879803346186,1286278919684.0837,29114585833.349678,1,1.0
2024-05-20,66252.71259591613,1304727108597.6987,9072734600.009218,1,3.0
2024-05-21,71430.29700215145,1406288649446.611,35923476641.4359,1,1.0
2024-05-22,70189.8358177002,1382275470797.567,41105056578.01701,1,1.0
2024-05-23,69181.20085677762,1362228629448.754,31059440495.91766,1,1.0
2024-05-24,67906.46534276106,1336347300306.381,39235702119.25446,1,1.0
2024-05-28,69367.23871755725,1366931305389.0393,18983806932.464344,1,4.0
2024-05-29,68316.63588049631,1347542673428.3018,31278122196.184998,1,1.0
2024-05-30,67577.26558995963,1331734029835.3335,24320692137.62038,1,1.0
2024-05-31,68372.49288434093,1346147846430.124,25344376897.716885,1,1.0
2024-06-03,67740.01690222476,1335930570689.7126,16137350587.750422,1,3.0
2024-06-04,68808.29368590549,1355484820107.0864,29862293749.910686,1,1.0
2024-06-05,70600.01116676089,1390853496950.4385,31561053725.144592,1,1.0
2024-06-06,71184.59943059199,1400297735227.1965,32560403314.989147,1,1.0
2024-06-07,70759.58819301432,1394881646977.521,23612879689.560955,1,1.0
2024-06-10,69654.16073760358,1372556186704.501,10461044041.080194,1,3.0
2024-06-11,69493.17760915738,1369378888543.5317,19335866773.67523,1,1.0
2024-06-12,67329.15232724321,1327665028180.2761,38513044382.60802,1,1.0
2024-06-13,68224.51967501991,1345244310606.6865,36027809551.45211,1,1.0
2024-06-14,66700.31696564378,1317161415434.6978,29654777884.381138,1,1.0
2024-06-17,66615.53782131766,1313849391756.9756,12650130203.722813,1,3.0
2024-06-18,66460.38897909952,1309329377372.7744,29409728999.276093,1,1.0
2024-06-20,64907.07460760319,1278699763341.0723,21680698980.889107,1,2.0
2024-06-21,64844.67441797763,1279317116821.3782,26001551474.84426,1,1.0
2024-06-24,63221.35738437477,1248188877658.2324,10748270931.518738,1,3.0
2024-06-25,60363.23497529626,1188964670369.4045,42036553106.89028,1,1.0
2024-06-26,61770.413870095355,1217935012739.8113,21105562261.648533,1,1.0
2024-06-27,60749.89619402014,1198205485427.564,22908540918.971207,1,1.0
2024-06-28,61562.64532550036,1213931985719.8025,18855138893.067604,1,1.0
2024-07-01,62734.39383945474,1236676710888.4822,17373592048.120487,1,3.0
2024-07-02,62819.82226921849,1238799172479.871,25573074910.689686,1,1.0
2024-07-03,62042.5650371006,1222901857941.0586,18100530101.689426,1,1.0
2024-07-05,57189.17412408636,1130121668991.0515,43112005394.93119,1,2.0
2024-07-08,55880.3753776708,1100452083927.7026,20211914621.326435,1,3.0
2024-07-09,56665.140733520275,1117615464651.686,41614266908.30467,1,1.0
2024-07-10,57988.30351208401,1144794688186.9604,28413854577.262756,1,1.0
2024-07-11,57704.202284462874,1139350681822.5857,25987656347.278587,1,1.0
2024-07-12,57388.192479166675,1130276546536.143,29196653598.752666,1,1.0
2024-07-15,60942.32773996293,1204059167828.704,21295520563.65442,1,3.0
2024-07-16,64835.48973321571,1277806993830.5176,37810068492.862465,1,1.0
2024-07-17,65162.23625234354,1284899538175.1812,40914441633.09575,1,1.0
2024-07-18,64136.31384360687,1266016458007.3477,33459451713.593426,1,1.0
2024-07-19,63959.56900809379,1261456293182.2588,25976148878.632153,1,1.0
2024-07-22,68088.13996324532,1343346742483.077,27078771827.95196,1,3.0
2024-07-23,67607.71339918874,1333201881091.7786,43157593651.80313,1,1.0
2024-07-24,65942.41746522837,1300963591115.5374,36100536095.18872,1,1.0
2024-07-25,65403.53513022529,1290447066028.3152,28680123269.715443,1,1.0
2024-07-26,65749.96361965332,1297125144853.139,35836896135.542854,1,1.0
2024-07-29,68242.2474440493,1346263382369.5552,17175244020.36542,1,3.0
2024-07-30,66770.32091848266,1317581413497.2551,42529043667.45024,1,1.0
2024-07-31,66219.05102486102,1306758338817.987,28892376510.689587,1,1.0
2024-08-01,64679.778647032515,1275401473742.0508,31403681581.194077,1,1.0
2024-08-02,65357.52960767435,1289157073527.528,38911302447.60912,1,1.0
2024-08-05,58006.206586686734,1147854905921.6433,33664501541.451115,1,3.0
2024-08-06,53956.26184159744,1064889039013.8289,120245972389.37173,1,1.0
2024-08-07,55959.84107399357,1104019419316.6865,52620100833.47091,1,1.0
2024-08-08,55099.95181146735,1088566703585.4303,41605918903.41173,1,1.0
2024-08-09,61859.03159904161,1218342891278.6091,49201548320.290726,1,1.0
2024-08-12,58804.23449992608,1159146815397.6223,21715994493.456894,1,3.0
2024-08-13,59350.07433270696,1171441797233.8909,39403296385.84335,1,1.0
2024-08-14,60601.22317789727,1195798013190.8457,31955576195.246292,1,1.0
2024-08-15,58739.19382231015,1159479277227.7532,28079911397.67297,1,1.0
2024-08-16,57624.11692852191,1137141836825.8655,33490251842.381626,1,1.0
2024-08-19,58438.293742685404,1156217205294.1643,17656027563.72502,1,3.0
2024-08-20,59574.945812940874,1176063402361.815,24031330179.258953,1,1.0
2024-08-21,59060.12610074137,1166088863323.0896,31470716090.619144,1,1.0
2024-08-22,61144.68762866613,1207099049402.5117,32960965010.60808,1,1.0
2024-08-23,60387.54062321362,1192308382713.8381,28170302505.847404,1,1.0
2024-08-26,64265.81631272862,1269291077270.1143,17875230147.044323,1,3.0
2024-08-27,62922.58634676265,1242487823611.2612,17894692681.091812,1,1.0
2024-08-28,59526.560879590994,1176762244308.0742,38131727427.91789,1,1.0
2024-08-29,59015.29633887944,1166032395735.947,42018989572.42786,1,1.0
2024-08-30,59351.5794909728,1171762256043.917,32563333956.986053,1,1.0
2024-09-03,59108.73235863689,1168410293915.9832,28012782290.96625,1,4.0
2024-09-04,57504.538586220435,1137361604370.578,26829983370.35861,1,1.0
2024-09-05,57987.84601410068,1144983177152.221,37550380696.7459,1,1.0
2024-09-06,56132.404732088595,1109212553022.4158,30005773445.693718,1,1.0
2024-09-09,54792.40755768575,1085390277573.522,18644823662.23431,1,3.0
2024-09-10,57049.118751143265,1126840069631.8132,35655419448.07046,1,1.0
2024-09-11,57624.16178336144,1137928777838.5286,29676093302.30697,1,1.0
2024-09-12,57381.764445000474,1134292554478.847,37765652735.2964,1,1.0
2024-09-13,58106.951229815284,1148469900814.253,34177859933.02337,1,1.0
2024-09-16,59214.80226801806,1169677517083.0613,17289597542.866756,1,3.0
2024-09-17,58211.123231286256,1150499194409.9338,32196570894.402115,1,1.0
2024-09-18,60317.0319794625,1191818552363.6113,34191170117.78261,1,1.0
2024-09-19,61440.41208494509,1211837853548.9263,40445339415.1129,1,1.0
2024-09-20,62966.52931910512,1243871590271.4927,41959080716.28771,1,1.0
2024-09-23,63582.59956924825,1255899286380.1958,20349365412.816723,1,3.0
2024-09-24,63327.02654450202,1251095079247.0432,23998847798.757656,1,1.0
2024-09-25,64334.14274876097,1271183646356.5713,31490984593.70592,1,1.0
2024-09-26,63151.89959401337,1245721254991.302,26087643765.748165,1,1.0
2024-09-27,65130.76884023231,1287151352432.846,37995568903.94455,1,1.0
2024-09-30,65663.68986662335,1297825615076.3352,12948707838.938381,1,3.0
2024-10-01,63243.27532464382,1249577803402.1707,35124446789.27111,1,1.0
2024-10-02,60872.668543725544,1202927109017.5488,54251488433.95029,1,1.0
2024-10-03,60655.55979196848,1198652098493.4897,41870731291.86736,1,1.0
2024-10-04,60727.86395169296,1200491237695.5154,37711138441.76231,1,1.0
2024-10-07,62811.79972811266,1241834324867.657,14592422860.685436,1,3.0
2024-10-08,62287.39010510681,1231091696620.0955,33878876147.30253,1,1.0
2024-10-09,62185.230423727575,1229717180592.4397,28626429276.55382,1,1.0
2024-10-10,60597.15045618275,1197736450280.4102,28530748117.898792,1,1.0
2024-10-11,60195.18073772453,1189691671375.1472,29481971885.649742,1,1.0
2024-10-15,66049.99492708022,1306085613997.8015,46553796134.14602,1,4.0
2024-10-16,66962.21994496793,1323774576161.621,51797932876.82809,1,1.0
2024-10-17,67647.54414766871,1337304399194.887,40640495380.19594,1,1.0
2024-10-18,67328.10527002988,1330387728623.8188,34512072357.92087,1,1.0
2024-10-21,68962.82918045693,1362381684459.9053,17253863432.786995,1,3.0
2024-10-22,67394.85775735618,1332326858574.4448,40485496091.95008,1,1.0
2024-10-23,67351.04793512498,1331426858508.4004,31398389967.38113,1,1.0
2024-10-24,66683.96806542306,1318285437546.2786,32676918488.059,1,1.0
2024-10-25,68214.05205157402,1347888109010.5889,35892606570.03549,1,1.0
2024-10-28,67938.55412885673,1343350549900.1233,16533385730.434193,1,3.0
2024-10-29,69845.304531169,1380874923096.4146,41990540384.96554,1,1.0
2024-10-30,72781.11308158132,1439310420089.3665,65487782004.97014,1,1.0
2024-10-31,72342.62171127986,1431085552900.1965,43498144313.67304,1,1.0
2024-11-01,70264.99735573279,1390195908292.9321,45907074188.570145,1,1.0
2024-11-04,68803.50626277467,1362302032218.0198,37659435506.757034,1,3.0
2024-11-05,67793.29782704762,1340192510479.9568,46183110993.79166,1,1.0
2024-11-06,69335.42553133758,1370963795352.6948,40025021601.49395,1,1.0
2024-11-07,75620.88606963192,1496392703840.9058,128492534668.23851,1,1.0
2024-11-08,75987.24178320667,1502620808927.6982,66590396087.4524,1,1.0
2024-11-12,88637.42000322911,1756619702929.0437,133959805308.72511,1,4.0
2024-11-13,88264.59974582895,1741113172482.1243,152356811694.44943,1,1.0
2024-11-14,90488.10007497849,1790737763695.3328,136046309843.60645,1,1.0
2024-11-15,87407.51273710128,1726797438787.217,99649391847.08359,1,1.0
2024-11-18,89841.47194135105,1776887033229.9082,48556083101.64749,1,3.0
2024-11-19,90534.62459650292,1790917617392.4407,77391724184.19348,1,1.0
2024-11-20,92251.65240738312,1825195454018.501,80493234958.49161,1,1.0
2024-11-21,94217.02229634205,1862618759426.145,80747272080.24826,1,1.0
2024-11-22,98509.11859102432,1948284556982.0486,118163852022.3175,1,1.0
2024-11-25,98015.9355289458,1939446484727.4285,50665680246.86775,1,3.0
2024-11-26,93004.70093103287,1838788677873.8657,89476321216.0935,1,1.0
2024-11-27,91931.83077291827,1819990514406.0881,97389239315.52954,1,1.0
2024-11-29,95661.59595817851,1892297852304.72,49067932024.40325,1,2.0
2024-12-02,97311.70719084324,1925808416477.5068,49147687432.565895,1,3.0
2024-12-03,95833.1362300365,1896576914275.523,101019861361.49252,1,1.0
2024-12-04,96031.63097759831,1900922167493.3643,87935752287.975,1,1.0
2024-12-05,98881.4694561823,1957276192604.2603,98230784298.0459,1,1.0
2024-12-06,97201.50036407741,1920742551503.6094,190460293531.53802,1,1.0
2024-12-09,101235.3717025316,2003238967638.8286,62677764785.05408,1,3.0
2024-12-10,97353.94700820887,1926047690157.6282,146846843211.51685,1,1.0
2024-12-11,96649.71446771531,1913115778728.2837,125835977742.51114,1,1.0
2024-12-12,101123.61811033697,2001746436338.842,118484957960.76833,1,1.0
2024-12-13,100000.80836535197,1979166149963.3093,100092043319.81221,1,1.0
2024-12-16,104721.50151808978,2075487816560.1924,70645074624.52869,1,3.0
2024-12-17,106074.10723541168,2097460193710.789,115184737759.33566,1,1.0
2024-12-18,106034.913402645,2100629850064.9119,93417826250.1972,1,1.0
2024-12-19,100355.5761481501,1985284833093.572,113692025885.44745,1,1.0
2024-12-20,97851.35377075805,1937022229972.2085,100611554887.24123,1,1.0
2024-12-23,95094.27394862173,1884599149192.4587,44619017105.36954,1,3.0
2024-12-24,94644.91085464321,1874912975786.6604,64937790292.61125,1,1.0
2024-12-26,99344.95417367229,1966481159354.1177,33963749856.44743,1,2.0
2024-12-27,95678.31244565405,1894744251986.1084,45049342388.18843,1,1.0
2024-12-30,93663.44751964067,1854872605738.8086,24065314499.502274,1,3.0
2024-12-31,92627.28213113277,1833188187477.531,57595164139.4709,1,1.0
2025-01-02,94384.1761153871,1869193319140.2422,23275007789.496334,1,2.0
2025-01-03,96852.14681235075,1917905016063.62,45157338602.617516,1,1.0
2025-01-06,98364.58946599838,1948339898718.8586,20060293834.7155,1,3.0
2025-01-07,102229.39453189743,2024825178619.8228,46111387334.46171,1,1.0
2025-01-08,96952.09886774956,1919133187081.3127,60610257147.15405,1,1.0
2025-01-09,95016.71440989176,1885313354913.7239,65790469838.34392,1,1.0
2025-01-10,92376.27578346101,1832933628117.9436,65850881574.76184,1,1.0
2025-01-13,94454.77089638807,1870314882306.9236,19608932595.53299,1,3.0
2025-01-14,94456.3493746993,1870609367804.8223,76328330233.31137,1,1.0
2025-01-15,96574.07768799194,1912603332624.1123,51241728228.81719,1,1.0
2025-01-16,100313.15239828422,1986831430651.8647,57637319739.543396,1,1.0
2025-01-17,100044.57926776377,1980935754458.284,50150102497.2729,1,1.0
2025-01-21,101764.90860170545,2017837068202.1384,120158523166.88387,1,4.0
2025-01-22,106182.2368201815,2098829000928.49,95344290057.8965,1,1.0
2025-01-23,103673.53509537787,2054288661793.9773,55030669602.56557,1,1.0
2025-01-24,104067.60991206947,2062360759045.0,102455227371.20761,1,1.0
2025-01-27,102552.24874280207,2036324005947.406,20639818380.26942,1,3.0
2025-01-28,101958.46953745594,2019295541213.5288,93191643783.24739,1,1.0
2025-01-29,101313.11264498268,2007072201507.5273,45780526813.56264,1,1.0
2025-01-30,103718.97939813645,2056581551171.7,47425401641.53094,1,1.0
2025-01-31,104781.5135100103,2076760153260.6191,42122570869.034325,1,1.0
2025-02-03,97568.31653024875,1933691439792.2544,59784234332.21204,1,3.0
2025-02-04,101466.8606657039,2011121374511.8835,122163969235.23686,1,1.0
2025-02-05,98118.43921664466,1943535291172.1597,73196693057.98114,1,1.0
2025-02-06,96582.88682919052,1912584628590.309,48848958931.79228,1,1.0
2025-02-07,96635.41875332211,1915093756057.5637,44462180396.172516,1,1.0
2025-02-10,96548.57865379585,1913068773356.083,25457107581.051964,1,3.0
2025-02-11,97399.98161383197,1930742951090.367,37054987393.57789,1,1.0
2025-02-12,95739.97737079239,1898788887978.3252,36454577154.5622,1,1.0
2025-02-13,97836.18856127483,1936842454813.9983,47115618235.19051,1,1.0
2025-02-14,96561.6639990985,1914315097486.3862,29084371910.690556,1,1.0
2025-02-18,95776.15723852723,1898997753781.9536,25324374113.08163,1,4.0
2025-02-19,95495.89153299287,1892702154844.508,38311133144.729355,1,1.0
2025-02-20,96554.87156259285,1914337919659.5537,27703222487.389572,1,1.0
2025-02-21,98384.31738240314,1950376106325.3228,24175261969.81266,1,1.0
2025-02-24,96327.46309127835,1909625674815.4763,16643044374.983364,1,3.0
2025-02-25,91396.76686930266,1814176779160.4363,45539703844.38777,1,1.0
2025-02-26,88755.7693356979,1759750360550.3337,96742453402.56294,1,1.0
2025-02-27,83900.11496524839,1664314955447.7466,69277430795.68657,1,1.0
2025-02-28,84709.14477847965,1679555320077.2097,305190442156.92804,1,1.0
2025-03-03,94261.53286538439,1868321705444.4878,61859112550.80991,1,3.0
2025-03-04,86124.71418722175,1708198960874.3418,68715362745.4567,1,1.0
2025-03-05,87310.80531078295,1731441668069.6523,65863356680.42408,1,1.0
2025-03-06,90604.08098523637,1797706868227.531,51606642859.81411,1,1.0
2025-03-07,90001.40087607042,1782785866811.654,47555759124.64708,1,1.0
2025-03-10,80751.13893300897,1602073794580.0344,32013406240.51754,1,3.0
2025-03-11,78783.94057934263,1563547150147.7332,49983692766.22745,1,1.0
2025-03-12,82799.1080292053,1642997419531.6057,56404462275.083046,1,1.0
2025-03-13,83884.24578828987,1662502658717.542,41782186208.59073,1,1.0
2025-03-14,81098.90052436228,1608477373718.186,32583592654.882656,1,1.0
2025-03-17,82610.61750343916,1638672153483.722,21638031633.118767,1,3.0
2025-03-18,84075.36559694471,1667799227887.438,19659366246.596867,1,1.0
2025-03-19,82780.03048688271,1642578274105.806,24557570268.85276,1,1.0
2025-03-20,86815.44109470697,1721565138141.278,33871216993.304657,1,1.0
2025-03-21,84270.84358966233,1672550706502.8184,27579127651.06656,1,1.0
2025-03-24,85787.70914901773,1702009594329.4495,12617587530.619724,1,3.0
2025-03-25,87327.72969669085,1732715331970.134,27270889835.1835,1,1.0
2025-03-26,87520.58391530563,1735368473904.4885,30351832942.705593,1,1.0
2025-03-27,86960.8555491039,1724854479045.6724,25522877558.700558,1,1.0
2025-03-28,87227.27158032371,1729729987159.4822,24620445368.489468,1,1.0
2025-03-31,82356.38111183756,1633996304187.2593,13428975108.070734,1,3.0
2025-04-01,82514.09365397849,1635076581047.3545,30326148749.91535,1,1.0
2025-04-02,85237.5876052852,1690602036035.04,29172899851.734768,1,1.0
2025-04-03,82526.4221526433,1637358764747.381,46332905657.77597,1,1.0
2025-04-04,83163.98757387721,1652537223074.958,36594464539.14662,1,1.0
2025-04-07,78211.48358199988,1555325260787.2627,36140377231.68329,1,3.0
2025-04-08,79179.29226757778,1581407565278.352,82909748172.59216,1,1.0
2025-04-09,76329.090356324,1515042499757.3254,47812787635.22632,1,1.0
2025-04-10,82622.17029546302,1640567909122.172,87408220482.11568,1,1.0
